V205596,5.00451
V205588,4.97397
V205590,4.91198
V205605,4.89827
V205567,4.85845
V205589,4.89624
V205578,4.89908
V205610,4.93624
V205570,4.88897
V205593,4.87528
V205585,4.91717
V205583,4.95914
V205630,4.92381
V205634,4.93134
V205614,4.91055
V205641,4.88962
V205621,4.86029
V205606,4.92737
V205594,4.88644
V205574,4.85049
V205592,4.87445
V205582,4.86502
V205591,4.86281
V205581,4.95828
V205586,4.90718
V205571,4.86187
V205572,4.93597
V205619,4.95749
V205573,4.97589
V205584,4.88593
V205575,4.88052
V205635,4.87287
V205622,4.9184
V205642,4.90841
V205576,4.93244
V205620,4.91481
V205624,4.91856
V205623,4.98103
V205648,4.89981
V205645,4.88781
V205625,4.92585
V205646,4.95825
V205644,4.97149
V205636,4.90062
V205647,4.9114
V205613,4.88337
V205643,4.90811
V205626,4.99884
